Common name English,Taxon
Humpback whale,Megaptera novaeangliae
Gervaisâ€™ beaked whale,Mesoplodon europaeus
Sperm whale,Physeter macrocephalus
Pan-tropical spotted dolphin,Stenella attenuata
Atlantic-spotted dolphin,Stenella frontalis
Bottlenose dolphin,Tursiops truncatus
Black noddy,Anous minutus
Brown noddy,Anous stolidus
Ascension frigatebird,Fregata aquila
White tern/Fairy tern,Gygis alba
Band-rumped storm petrel,Oceanodroma sp.
Sooty tern,Onchyprion fuscata
Red-billed tropicbird,Phaethon aethereus
Yellow-billed tropicbird,Phaethon lepturus
Masked booby,Sula dactylatra
Brown booby,Sula leucogaster
Red-footed booby,Sula sula
Wahoo,Acanthocybium solandri
Bigeye thresher shark,Alopias superciliosus
Frigate tuna,Auxis thazard
Silky shark,Carcharhinus falciformis
Oceanic whitetip shark,Carcharhinus longimanus
Great white shark,Carcharodon carcharias
Other sharks n.i.,Elasmobranchii
Galapagos shark,Carcharhinus galapagensis
Tiger shark,Galeocerdo cuvier
Black marlin,Istiompax indica
Marlins n.i.,Istiophoridae
Atlantic sailfish,Istiophorus albicans
Shortfin mako,Isurus oxyrinchus
Atlantic white marlin,Kajikia albida
Skipjack tuna,Katsuwonus pelamis
Blue marlin,Makaira nigricans
Blue shark,Prionace glauca
Whale shark,Rhincodon typus
Atlantic bonito,Sarda sarda
"Mackerels, tunas, bonitos",Scombridae n.i.
Scalloped hammerhead,Sphyrna lewini
Great hammerhead,Sphyrna mokarran
Other hammerhead shark,Sphyrna spp.
Longbill spearfish,Tetrapturus pfluegeri
Albacore,Thunnus alalunga
Yellowfin tuna,Thunnus albacares
Bigeye tuna,Thunnus obesus
Tuna n.i.,Thunnus spp.
Swordfish,Xiphias gladius
Grey triggerfish,Balistes capriscus
Deep-water bullseye,Cookeolus japonicus
Rock hind grouper,Epinephelus adscensionis
Spotted moray,Gymnothorax moringa
Glasseye snapper,Heteropriacanthus cruentatus
Other moray eels,Muraenidae
"Bigeye, catalufas",Priacanthidae
"Basses, groupers, hinds",Serranidae n.i.
"Porgies, seambreams",Sparidae
Jacks,Caranx spp.
Brown chromis,Chromis miltilineata
Flyingfish,Cypselurus cyanopterus
Mackerel scad,Decapterus sp.
Rainbow runner,Elagatis bipinnulata
Black triggerfish,Melichthys niger
Creole-fish,Paranthias furcifer
Sea urchins,Cidaris sp.
Ascension lighfoot crab,Graspus adscensionis
Deep-water shrimps,Nematocarcinus spp.
Common octopus,Octopus occidentalis
Other lobsters,Palinuridae
Brown spiny lobster,Panulirus echinatus
Stump lobster,Scyllarides obtusus
Brittle stars,Ophiocantha sp.
Rock oyster,Pseudochama cristella
Rustic rock snail,Stramonita rustica